Date,Open,High,Low,Close,Volume
2023-10-04,2526.23551690384,2535.291747471698,2485.9352908768747,2498.614013671875,3414500
2023-10-05,2515.3680885599915,2560.1964307323474,2496.8028155391166,2557.932373046875,2900300
2023-10-06,2543.442469688066,2579.6673935931835,2538.0087311022985,2561.554931640625,2016900
2023-10-10,2592.346115883488,2610.0057662798995,2581.4786387164654,2598.232666015625,2403700
2023-10-11,2590.08214000394,2597.7799365738815,2581.93153187106,2586.0068359375,1789000
2023-10-12,2599.591097557659,2610.4585747117058,2587.365185759356,2601.40234375,1900800
2023-10-13,2570.6109036239873,2591.893044274036,2567.894034604832,2577.403076171875,1952800
2023-10-16,2576.950637024824,2578.309071730688,2542.0841462409703,2554.31005859375,1912800
2023-10-17,2579.2148766447367,2596.874529065584,2562.460847424959,2581.026123046875,1794200
2023-10-18,2590.0820498249823,2599.1382807684263,2556.1211837870674,2571.06396484375,1904500
2023-10-19,2556.121099990289,2595.062891770478,2548.4233039407172,2586.45947265625,2481800
2023-10-20,2578.3090298127563,2608.1945928558966,2563.8190598524457,2595.515869140625,2896500
2023-10-23,2588.7237547108825,2590.082189425616,2566.0831761319873,2571.9697265625,1513100
2023-10-24,2595.5159119026134,2597.3271581774934,2545.706639343422,2587.818115234375,2178200
2023-10-25,2610.911370786251,2637.17444041955,2606.383255332234,2617.250732421875,2161800
2023-10-26,2605.024951581478,2605.930574717783,2570.6112724018863,2590.98779296875,2139400
2023-10-27,2605.47759320353,2627.6653585957743,2594.6101162767163,2621.77880859375,1803400
2023-10-30,2608.194652632951,2608.194652632951,2583.2900161928796,2605.477783203125,1485200
2023-10-31,2629.9294130390863,2669.3240168501056,2607.741647674259,2661.626220703125,2339900
2023-11-01,2694.229050789819,2696.0402972105185,2668.418789294858,2683.361572265625,2140900
2023-11-02,2715.511196233033,2716.4168194433823,2669.3244125052074,2683.361572265625,1639800
2023-11-06,2721.3975665096277,2736.7931600639254,2706.0019729553305,2720.491943359375,2082100
2023-11-07,2712.794382182777,2733.1709048331236,2685.6256853156488,2696.4931640625,1401300
2023-11-08,2710.0772669168987,2711.8885132105775,2662.98486328125,2662.98486328125,1324300
2023-11-09,2647.5893380067105,2709.6245251637006,2644.419656911098,2696.94580078125,1448800
2023-11-10,2694.2291606556287,2720.4922348267255,2686.984174677395,2709.624755859375,1762400
2023-11-13,2730.453950964221,2734.0764437681537,2702.8324433342345,2708.718994140625,1241600
2023-11-14,2730.4536731465323,2756.716743302834,2720.491818949314,2740.41552734375,1567700
2023-11-15,2757.6224530345894,2762.1505687210174,2734.076251465164,2758.528076171875,2066900
2023-11-16,2734.9817775618853,2757.622355190709,2709.1715190650266,2716.41650390625,1792100
2023-11-17,2739.509714855941,2757.6221757806084,2722.3028769775074,2756.716552734375,2262400
2023-11-20,2762.15052170613,2766.678637315484,2728.642466196908,2735.887451171875,1126700
2023-11-21,2734.9817556552784,2751.2829714174622,2724.1142784804897,2738.604248046875,1605000
2023-11-22,2734.9816982581965,2768.489752177254,2727.736713627049,2762.150390625,1081300
2023-11-24,2788.4134933451683,2790.2247395246713,2754.905439024359,2763.961669921875,970800
2023-11-27,2775.7347762886134,2775.7347762886134,2756.7166913613505,2757.622314453125,1510600
2023-11-28,2766.6786448410867,2770.301137338424,2744.038066732731,2763.05615234375,1543800
2023-11-29,2758.5279562006554,2764.867317885949,2727.736770872086,2738.604248046875,1382600
2023-11-30,2730.453358017678,2743.132080078125,2693.322814840655,2743.132080078125,3140500
2023-12-01,2772.1125420641247,2795.6587446429116,2760.339440774731,2778.451904296875,2000100
2023-12-04,2772.112259323264,2797.4697056679393,2762.1504054021416,2782.979736328125,1543700
2023-12-05,2783.885425606059,2806.5260032378583,2778.451686974427,2786.602294921875,1599900
2023-12-06,2789.3191799739,2840.939697265625,2787.507933753138,2840.939697265625,1952900
2023-12-07,2826.449568371895,2832.7889297876604,2809.2427302433894,2825.5439453125,2141100
2023-12-08,2775.7347558544734,2784.7909867055487,2704.1905321309814,2706.45458984375,3651200
2023-12-11,2721.397352074795,2771.2066214139345,2718.6804828381146,2762.150390625,2369300
2023-12-12,2794.7530152838876,2804.714869842579,2779.357421875,2779.357421875,1792200
2023-12-13,2780.262978882035,2790.224833203762,2764.867385839366,2775.73486328125,1383800
2023-12-14,2779.357527472982,2786.6025128818396,2739.5101077242657,2778.451904296875,1829900
2023-12-15,2803.809140243282,2811.9597482091053,2777.546070131184,2780.262939453125,2431800
2023-12-18,2760.3389171601602,2764.8670321817485,2715.510578446437,2743.132080078125,1549600
2023-12-19,2739.5096555207638,2742.226524600619,2678.8329127373286,2706.9072265625,2868100
2023-12-20,2725.0198206018517,2734.981674382716,2714.15234375,2714.15234375,1630000
2023-12-21,2715.0579429235536,2741.321011751033,2705.5489007618803,2739.509765625,1369000
2023-12-22,2739.509904234912,2755.811120193996,2724.1143113846665,2740.41552734375,1401600
2023-12-25,2771.206648478363,2785.6966178821713,2759.4335483377686,2770.301025390625,1193400
2023-12-26,2784.7910406239744,2788.413533034542,2748.566116518297,2759.43359375,1184500
2023-12-27,2768.4897669883103,2791.1303440817705,2765.7728977370953,2782.979736328125,1455300
2023-12-28,2792.036251069344,2818.299323168277,2792.036251069344,2811.9599609375,1128500
2023-12-29,2815.5822892657943,2845.4678523232956,2813.7710430198854,2836.41162109375,1788900
2024-01-04,2866.297061529252,2896.18262330823,2829.1665150765825,2889.84326171875,2921800
2024-01-05,2895.2771072505907,2952.331363664975,2894.371484132902,2922.44580078125,2565200
2024-01-09,2961.3874421296296,2978.594280478395,2934.21875,2934.21875,3152400
2024-01-10,2960.481986922916,2988.556303715394,2949.61450945486,2976.783203125,2593300
2024-01-11,3001.2348964125167,3015.724865737381,2984.9336809220445,3003.046142578125,2834600
2024-01-12,3028.403521993886,3029.309145056683,2984.9336149796195,2999.423583984375,3692400
2024-01-15,3010.2912203833735,3020.2530746024518,3006.668727940072,3014.8193359375,432500
2024-01-16,3070.062195528679,3083.6465415265934,3051.9497341981264,3060.100341796875,2664900
2024-01-17,3064.6288482885566,3096.3256596626993,3021.158935546875,3021.158935546875,3383500
2024-01-18,3022.0645529671433,3031.1207847710602,2992.178988014217,2993.990234375,2906900
2024-01-19,3079.118731563422,3080.9299778761065,3025.686965339233,3070.0625,6729600
2024-01-22,3097.2309353142937,3165.1526663518875,3096.3253122337924,3156.096435546875,4132200
2024-01-23,3135.267074793499,3164.24701309315,3100.8533980626635,3114.437744140625,4275100
2024-01-24,3032.02592798047,3063.7227342765623,3025.6865667212514,3054.66650390625,6004200
2024-01-25,3058.289194920144,3074.5904106466946,3040.1767330017537,3065.5341796875,3662700
2024-01-26,3051.9495183771305,3074.5900934392753,3035.648304332386,3068.250732421875,4765200
2024-01-29,3061.006142939815,3076.4017359664354,3047.4217961516206,3056.47802734375,10379000
2024-01-30,3063.863248526332,3074.017661221056,3047.2469368440557,3064.786376953125,5766600
2024-01-31,3046.323900134449,3090.6340659545863,3038.015744043173,3089.7109375,3247600
2024-02-01,3082.3254243645424,3082.3254243645424,3047.2465486155597,3062.0166015625,2105200
2024-02-02,3059.2476063923664,3081.402688635401,3039.861909429711,3064.786376953125,2430400
2024-02-05,3057.4011574161864,3063.863055997682,3023.245407771138,3042.631103515625,3089500
2024-02-06,3027.861058289351,3032.4767001464993,2968.7808425178514,2973.396484375,3097500
2024-02-07,2964.165291957171,3012.16796875,2963.242163557309,3012.16796875,3070000
2024-02-08,3013.0909000076126,3038.015365173117,2975.242638089625,3031.553466796875,2899200
2024-02-09,3011.2447268921164,3034.322936019125,2986.3202610349467,3008.475341796875,2707400
2024-02-13,3015.8603515625,3018.629736641988,2973.3964470103497,3015.8603515625,2499500
2024-02-14,3015.860667247271,3020.47630952956,2969.7042444243866,2986.320556640625,2125000
2024-02-15,3000.167121407592,3010.321533203125,2977.0889127813793,3010.321533203125,2014800
2024-02-16,3032.47649566862,3074.0172695818887,3021.3989559584147,3062.0166015625,4639600
2024-02-19,3057.4012888726456,3057.4012888726456,3022.3224093505564,3038.938720703125,1275300
2024-02-20,3046.323568697758,3051.8623388226633,3023.2453598439874,3037.09228515625,1438000
2024-02-21,3041.7078580504804,3082.32550471337,3039.861601383985,3080.479248046875,2176100
2024-02-22,3086.018096018799,3131.2513854908066,3083.2487109490844,3112.788818359375,3660800
2024-02-26,3107.2500858823005,3110.0194709855823,3070.324951171875,3070.324951171875,2501900
2024-02-27,3046.3232421875,3097.095296223958,3040.78447265625,3074.01708984375,2166000
2024-02-28,3086.9414591961595,3089.710844476539,3044.4775515636766,3064.786376953125,1801500
2024-02-29,3091.55693469019,3099.865090083505,3061.0936982480353,3083.248779296875,5209200
2024-03-01,3074.017715589615,3122.943523074975,3074.017715589615,3118.327880859375,2101100
2024-03-04,3101.711181640625,3101.711181640625,3101.711181640625,3101.711181640625,1890200
2024-03-05,3089.7107544126156,3122.943376808449,3072.1713148148147,3115.558349609375,1893500
2024-03-06,3134.0208444381683,3179.254134976451,3116.4814052498546,3172.792236328125,4306500
2024-03-07,3194.024094774024,3213.40979014693,3127.5588534954895,3134.020751953125,2788400
2024-03-08,3138.6362907833645,3206.024658203125,3099.8649013089816,3206.024658203125,5499700
2024-03-11,3194.024322610848,3194.024322610848,3038.938748565003,3065.70947265625,3270500
2024-03-12,3047.246904317459,3065.70947265625,3013.091152890696,3065.70947265625,1933400
2024-03-13,3080.479363217242,3118.327626295428,3069.4018228041145,3070.324951171875,2438600
2024-03-14,3063.8632309253403,3101.7114962064306,3047.24691933852,3072.17138671875,2508000
2024-03-15,3074.017447487065,3109.096325266197,3063.863035498369,3077.7099609375,2910400
2024-03-18,3095.24951171875,3122.9433635981304,3079.556328987101,3095.24951171875,2138200
2024-03-19,3086.9411892998824,3143.252018410915,3083.248675915552,3141.40576171875,2200000
2024-03-21,3189.4085606897315,3205.10174318806,3164.4840943688564,3193.10107421875,2505800
2024-03-22,3207.871242151968,3222.6412967920924,3182.023646531751,3196.793701171875,2805100
2024-03-25,3200.4858591518837,3204.178372401554,3147.8675453440796,3151.56005859375,1824200
2024-03-26,3125.7127424737437,3156.175979479542,3120.173972109053,3136.790283203125,1844300
2024-03-27,3160.7914502767394,3243.8730012477986,3156.175808556125,3210.640380859375,3121900
2024-03-28,3166.330679447483,3205.1020755223503,3156.1762661897797,3170.023193359375,2575100
2024-03-29,3187.5624717792575,3260.4896178176477,3180.1774443323316,3250.335205078125,1233000
2024-04-01,3263.258811779778,3269.7207104169656,3204.178595668348,3214.3330078125,1998700
2024-04-02,3220.794759909906,3247.565481617383,3195.87029487191,3211.5634765625,2169300
2024-04-03,3235.564798537727,3240.1804401904196,3191.254638671875,3191.254638671875,2346900
2024-04-04,3249.411817017644,3290.029464730364,3239.2574050894636,3243.873046875,2718700
2024-04-05,3221.718065624106,3237.411248178722,3182.946673430349,3227.2568359375,2050600
2024-04-08,3249.412011247516,3279.8752488529617,3237.4113418877955,3252.181396484375,1564400
2024-04-09,3267.8744963779013,3273.413266710745,3242.0269014912965,3261.41259765625,1282300
2024-04-10,3279.8750824827343,3288.183237771883,3260.489386808055,3270.643798828125,1233000
2024-04-11,3206.024975870064,3267.8745794932406,3200.486205396346,3252.181396484375,2161300
2024-04-12,3306.645786184845,3314.0308130663298,3272.4900368579774,3291.875732421875,1976700
2024-04-15,3242.026931870242,3286.3370949481955,3239.2575466778703,3274.33642578125,1677000
